bank_txn_id,value_date,narration,debit,credit,running_balance,utr_number
uci_bank_489434,2009-12-01,UCI ONLINE RETAIL UCI-489434,0.0,505.3,505.3,setl_489434
uci_bank_489435,2009-12-01,UCI ONLINE RETAIL UCI-489435,0.0,145.8,651.1,setl_489435
uci_bank_489436,2009-12-01,UCI ONLINE RETAIL UCI-489436,0.0,630.33,1281.43,setl_489436
uci_bank_489437,2009-12-01,UCI ONLINE RETAIL UCI-489437,0.0,310.75,1592.18,setl_489437
uci_bank_489438,2009-12-01,UCI ONLINE RETAIL UCI-489438,0.0,2286.24,3878.42,setl_489438
uci_bank_489439,2009-12-01,UCI ONLINE RETAIL UCI-489439,0.0,426.3,4304.72,setl_489439
uci_bank_489440,2009-12-01,UCI ONLINE RETAIL UCI-489440,0.0,50.4,4355.12,setl_489440
uci_bank_489441,2009-12-01,UCI ONLINE RETAIL UCI-489441,0.0,344.34,4699.46,setl_489441
uci_bank_489442,2009-12-01,UCI ONLINE RETAIL UCI-489442,0.0,382.37,5081.83,setl_489442
uci_bank_489443,2009-12-01,UCI ONLINE RETAIL UCI-489443,0.0,285.06,5366.89,setl_489443
uci_bank_489444,2009-12-01,UCI ONLINE RETAIL UCI-489444,0.0,141.0,5507.89,setl_489444
uci_bank_489445,2009-12-01,UCI ONLINE RETAIL UCI-489445,0.0,308.44,5816.33,setl_489445
uci_bank_489446,2009-12-01,UCI ONLINE RETAIL UCI-489446,0.0,996.1,6812.43,setl_489446
uci_bank_489447,2009-12-01,UCI ONLINE RETAIL UCI-489447,0.0,130.0,6942.43,setl_489447
uci_bank_489448,2009-12-01,UCI ONLINE RETAIL UCI-489448,0.0,570.24,7512.67,setl_489448
uci_bank_489450,2009-12-01,UCI ONLINE RETAIL UCI-489450,0.0,196.1,7708.77,setl_489450
uci_bank_489460,2009-12-01,UCI ONLINE RETAIL UCI-489460,0.0,485.79,8194.56,setl_489460
uci_bank_489462,2009-12-01,UCI ONLINE RETAIL UCI-489462,0.0,148.3,8342.86,setl_489462
uci_bank_489461,2009-12-01,UCI ONLINE RETAIL UCI-489461,0.0,589.33,8932.19,setl_489461
