txn_id,order_id,amount,currency,status,method,created_at,settlement_id,customer_ref
uci_489434,489434,505.3,GBP,captured,online_retail,2009-12-01 07:45:00,setl_489434,customer_13085
uci_489435,489435,145.8,GBP,captured,online_retail,2009-12-01 07:46:00,setl_489435,customer_13085
uci_489436,489436,630.33,GBP,captured,online_retail,2009-12-01 09:06:00,setl_489436,customer_13078
uci_489437,489437,310.75,GBP,captured,online_retail,2009-12-01 09:08:00,setl_489437,customer_15362
uci_489438,489438,2286.24,GBP,captured,online_retail,2009-12-01 09:24:00,setl_489438,customer_18102
uci_489439,489439,426.3,GBP,captured,online_retail,2009-12-01 09:28:00,setl_489439,customer_12682
uci_489440,489440,50.4,GBP,captured,online_retail,2009-12-01 09:43:00,setl_489440,customer_18087
uci_489441,489441,344.34,GBP,captured,online_retail,2009-12-01 09:44:00,setl_489441,customer_18087
uci_489442,489442,382.37,GBP,captured,online_retail,2009-12-01 09:46:00,setl_489442,customer_13635
uci_489443,489443,285.06,GBP,captured,online_retail,2009-12-01 09:50:00,setl_489443,customer_14110
uci_489444,489444,141.0,GBP,captured,online_retail,2009-12-01 09:55:00,setl_489444,customer_12636
uci_489445,489445,308.44,GBP,captured,online_retail,2009-12-01 09:57:00,setl_489445,customer_17519
uci_489446,489446,996.1,GBP,captured,online_retail,2009-12-01 10:06:00,setl_489446,customer_13758
uci_489447,489447,130.0,GBP,captured,online_retail,2009-12-01 10:10:00,setl_489447,customer_12362
uci_489448,489448,570.24,GBP,captured,online_retail,2009-12-01 10:18:00,setl_489448,customer_15413
uci_489450,489450,196.1,GBP,captured,online_retail,2009-12-01 10:36:00,setl_489450,customer_16321
uci_489460,489460,485.79,GBP,captured,online_retail,2009-12-01 10:46:00,setl_489460,customer_16167
uci_489462,489462,148.3,GBP,captured,online_retail,2009-12-01 10:49:00,setl_489462,customer_17592
uci_489461,489461,589.33,GBP,captured,online_retail,2009-12-01 10:49:00,setl_489461,customer_17865
uci_489465,489465,1197.8,GBP,captured,online_retail,2009-12-01 10:52:00,setl_489465,customer_13767
uci_489488,489488,251.1,GBP,captured,online_retail,2009-12-01 10:59:00,setl_489488,customer_17238
uci_489505,489505,255.5,GBP,captured,online_retail,2009-12-01 11:17:00,setl_489505,customer_15712
uci_489514,489514,823.02,GBP,captured,online_retail,2009-12-01 11:21:00,setl_489514,customer_15311
uci_489517,489517,282.46,GBP,captured,online_retail,2009-12-01 11:34:00,setl_489517,customer_16329
uci_489519,489519,696.73,GBP,captured,online_retail,2009-12-01 11:37:00,setl_489519,customer_17700
uci_489520,489520,733.63,GBP,captured,online_retail,2009-12-01 11:41:00,setl_489520,customer_14911
uci_489522,489522,700.31,GBP,captured,online_retail,2009-12-01 11:45:00,setl_489522,customer_15998
uci_489523,489523,1160.0,GBP,captured,online_retail,2009-12-01 11:46:00,setl_489523,customer_12931
uci_489526,489526,929.92,GBP,captured,online_retail,2009-12-01 11:50:00,setl_489526,customer_12533
uci_489529,489529,229.46,GBP,captured,online_retail,2009-12-01 11:51:00,setl_489529,customer_17984
uci_489531,489531,145.0,GBP,captured,online_retail,2009-12-01 11:57:00,setl_489531,customer_14871
uci_489532,489532,304.53,GBP,captured,online_retail,2009-12-01 11:58:00,setl_489532,customer_13394
uci_489533,489533,192.75,GBP,captured,online_retail,2009-12-01 12:02:00,setl_489533,customer_16011
uci_489536,489536,367.41,GBP,captured,online_retail,2009-12-01 12:13:00,setl_489536,customer_16393
uci_489537,489537,633.33,GBP,captured,online_retail,2009-12-01 12:14:00,setl_489537,customer_14040
uci_489539,489539,2887.14,GBP,captured,online_retail,2009-12-01 12:18:00,setl_489539,customer_15061
uci_489540,489540,537.96,GBP,captured,online_retail,2009-12-01 12:18:00,setl_489540,customer_12913
uci_489542,489542,387.6,GBP,captured,online_retail,2009-12-01 12:19:00,setl_489542,customer_15061
uci_489544,489544,281.82,GBP,captured,online_retail,2009-12-01 12:20:00,setl_489544,customer_14341
uci_489545,489545,124.95,GBP,captured,online_retail,2009-12-01 12:22:00,setl_489545,customer_17804
uci_489546,489546,584.5,GBP,captured,online_retail,2009-12-01 12:30:00,setl_489546,customer_14156
uci_489547,489547,641.45,GBP,captured,online_retail,2009-12-01 12:30:00,setl_489547,customer_13599
uci_489550,489550,482.3,GBP,captured,online_retail,2009-12-01 12:33:00,setl_489550,customer_14156
uci_489552,489552,278.61,GBP,captured,online_retail,2009-12-01 12:36:00,setl_489552,customer_17063
uci_489556,489556,379.65,GBP,captured,online_retail,2009-12-01 12:47:00,setl_489556,customer_15719
uci_489557,489557,603.94,GBP,captured,online_retail,2009-12-01 12:52:00,setl_489557,customer_12490
uci_489558,489558,291.58,GBP,captured,online_retail,2009-12-01 12:54:00,setl_489558,customer_15793
uci_489559,489559,128.6,GBP,captured,online_retail,2009-12-01 12:55:00,setl_489559,customer_17056
uci_489560,489560,859.1,GBP,captured,online_retail,2009-12-01 12:56:00,setl_489560,customer_13526
uci_489561,489561,246.86,GBP,captured,online_retail,2009-12-01 12:57:00,setl_489561,customer_14654
uci_489562,489562,229.6,GBP,captured,online_retail,2009-12-01 13:07:00,setl_489562,customer_17998
uci_489564,489564,322.9,GBP,captured,online_retail,2009-12-01 13:13:00,setl_489564,customer_13526
uci_489566,489566,218.55,GBP,captured,online_retail,2009-12-01 13:16:00,setl_489566,customer_17742
uci_489567,489567,307.8,GBP,captured,online_retail,2009-12-01 13:19:00,setl_489567,customer_15326
uci_489569,489569,282.28,GBP,captured,online_retail,2009-12-01 13:20:00,setl_489569,customer_14478
uci_489571,489571,156.71,GBP,captured,online_retail,2009-12-01 13:29:00,setl_489571,customer_15967
uci_489572,489572,507.49,GBP,captured,online_retail,2009-12-01 13:29:00,setl_489572,customer_17611
uci_489573,489573,580.02,GBP,captured,online_retail,2009-12-01 13:29:00,setl_489573,customer_15051
uci_489574,489574,551.33,GBP,captured,online_retail,2009-12-01 13:31:00,setl_489574,customer_13097
uci_489575,489575,367.28,GBP,captured,online_retail,2009-12-01 13:37:00,setl_489575,customer_13590
uci_489576,489576,319.66,GBP,captured,online_retail,2009-12-01 13:38:00,setl_489576,customer_15984
uci_489579,489579,219.82,GBP,captured,online_retail,2009-12-01 13:41:00,setl_489579,customer_16887
uci_489580,489580,261.0,GBP,captured,online_retail,2009-12-01 13:43:00,setl_489580,customer_12921
uci_489582,489582,293.95,GBP,captured,online_retail,2009-12-01 13:47:00,setl_489582,customer_14543
uci_489581,489581,124.83,GBP,captured,online_retail,2009-12-01 13:47:00,setl_489581,customer_15945
uci_489584,489584,21.95,GBP,captured,online_retail,2009-12-01 13:48:00,setl_489584,customer_18037
uci_489585,489585,105.85,GBP,captured,online_retail,2009-12-01 13:49:00,setl_489585,customer_15662
uci_489586,489586,263.42,GBP,captured,online_retail,2009-12-01 13:50:00,setl_489586,customer_15380
uci_489590,489590,362.78,GBP,captured,online_retail,2009-12-01 14:14:00,setl_489590,customer_13110
uci_489593,489593,423.87,GBP,captured,online_retail,2009-12-01 14:19:00,setl_489593,customer_12836
uci_489594,489594,322.33,GBP,captured,online_retail,2009-12-01 14:19:00,setl_489594,customer_15005
uci_489598,489598,822.37,GBP,captured,online_retail,2009-12-01 14:35:00,setl_489598,customer_16620
uci_489599,489599,2454.68,GBP,captured,online_retail,2009-12-01 14:40:00,setl_489599,customer_12758
uci_489606,489606,2.1,GBP,captured,online_retail,2009-12-01 14:48:00,setl_489606,customer_17961
uci_489611,489611,2.95,GBP,captured,online_retail,2009-12-01 14:53:00,setl_489611,customer_15601
uci_489613,489613,12.75,GBP,captured,online_retail,2009-12-01 14:56:00,setl_489613,customer_13585
uci_489617,489617,198.0,GBP,captured,online_retail,2009-12-01 14:59:00,setl_489617,customer_13442
uci_489634,489634,17.4,GBP,captured,online_retail,2009-12-01 15:19:00,setl_489634,customer_13381
uci_489635,489635,352.85,GBP,captured,online_retail,2009-12-01 15:26:00,setl_489635,customer_16763
uci_489637,489637,535.9,GBP,captured,online_retail,2009-12-01 15:36:00,setl_489637,customer_17243
uci_489639,489639,31.2,GBP,captured,online_retail,2009-12-01 16:05:00,setl_489639,customer_14865
uci_489640,489640,329.91,GBP,captured,online_retail,2009-12-01 16:17:00,setl_489640,customer_17345
uci_489641,489641,622.1,GBP,captured,online_retail,2009-12-01 16:18:00,setl_489641,customer_13819
