gateway_id,bank_id,ledger_id,match_type,expected_status
uci_489434,uci_bank_489434,uci_ledger_489434,public_invoice,MATCHED
uci_489435,uci_bank_489435,uci_ledger_489435,public_invoice,MATCHED
uci_489436,uci_bank_489436,uci_ledger_489436,public_invoice,MATCHED
uci_489437,uci_bank_489437,uci_ledger_489437,public_invoice,MATCHED
uci_489438,uci_bank_489438,uci_ledger_489438,public_invoice,MATCHED
uci_489439,uci_bank_489439,uci_ledger_489439,public_invoice,MATCHED
uci_489440,uci_bank_489440,uci_ledger_489440,public_invoice,MATCHED
uci_489441,uci_bank_489441,uci_ledger_489441,public_invoice,MATCHED
uci_489442,uci_bank_489442,uci_ledger_489442,public_invoice,MATCHED
uci_489443,uci_bank_489443,uci_ledger_489443,public_invoice,MATCHED
uci_489444,uci_bank_489444,uci_ledger_489444,public_invoice,MATCHED
uci_489445,uci_bank_489445,uci_ledger_489445,public_invoice,MATCHED
uci_489446,uci_bank_489446,uci_ledger_489446,public_invoice,MATCHED
uci_489447,uci_bank_489447,uci_ledger_489447,public_invoice,MATCHED
uci_489448,uci_bank_489448,uci_ledger_489448,public_invoice,MATCHED
uci_489450,uci_bank_489450,uci_ledger_489450,public_invoice,MATCHED
uci_489460,uci_bank_489460,uci_ledger_489460,public_invoice,MATCHED
uci_489462,uci_bank_489462,uci_ledger_489462,public_invoice,MATCHED
uci_489461,uci_bank_489461,uci_ledger_489461,public_invoice,MATCHED
uci_489465,uci_bank_489465,uci_ledger_489465,public_invoice,MATCHED
uci_489488,uci_bank_489488,uci_ledger_489488,public_invoice,MATCHED
uci_489505,uci_bank_489505,uci_ledger_489505,public_invoice,MATCHED
uci_489514,uci_bank_489514,uci_ledger_489514,public_invoice,MATCHED
uci_489517,uci_bank_489517,uci_ledger_489517,public_invoice,MATCHED
uci_489519,uci_bank_489519,uci_ledger_489519,public_invoice,MATCHED
uci_489520,uci_bank_489520,uci_ledger_489520,public_invoice,MATCHED
uci_489522,uci_bank_489522,uci_ledger_489522,public_invoice,MATCHED
