ledger_entry_id,invoice_ref,expected_amount,customer_name,entry_date,status
uci_ledger_489434,UCI-489434,505.3,customer_13085,2009-12-01,open
uci_ledger_489435,UCI-489435,145.8,customer_13085,2009-12-01,open
uci_ledger_489436,UCI-489436,630.33,customer_13078,2009-12-01,open
uci_ledger_489437,UCI-489437,310.75,customer_15362,2009-12-01,open
uci_ledger_489438,UCI-489438,2286.24,customer_18102,2009-12-01,open
uci_ledger_489439,UCI-489439,426.3,customer_12682,2009-12-01,open
uci_ledger_489440,UCI-489440,50.4,customer_18087,2009-12-01,open
uci_ledger_489441,UCI-489441,344.34,customer_18087,2009-12-01,open
uci_ledger_489442,UCI-489442,382.37,customer_13635,2009-12-01,open
uci_ledger_489443,UCI-489443,285.06,customer_14110,2009-12-01,open
uci_ledger_489444,UCI-489444,141.0,customer_12636,2009-12-01,open
uci_ledger_489445,UCI-489445,308.44,customer_17519,2009-12-01,open
uci_ledger_489446,UCI-489446,996.1,customer_13758,2009-12-01,open
uci_ledger_489447,UCI-489447,130.0,customer_12362,2009-12-01,open
uci_ledger_489448,UCI-489448,570.24,customer_15413,2009-12-01,open
uci_ledger_489450,UCI-489450,196.1,customer_16321,2009-12-01,open
uci_ledger_489460,UCI-489460,485.79,customer_16167,2009-12-01,open
uci_ledger_489462,UCI-489462,148.3,customer_17592,2009-12-01,open
uci_ledger_489461,UCI-489461,589.33,customer_17865,2009-12-01,open
uci_ledger_489465,UCI-489465,1197.8,customer_13767,2009-12-01,open
uci_ledger_489488,UCI-489488,251.1,customer_17238,2009-12-01,open
uci_ledger_489505,UCI-489505,255.5,customer_15712,2009-12-01,open
uci_ledger_489514,UCI-489514,823.02,customer_15311,2009-12-01,open
uci_ledger_489517,UCI-489517,282.46,customer_16329,2009-12-01,open
uci_ledger_489519,UCI-489519,696.73,customer_17700,2009-12-01,open
uci_ledger_489520,UCI-489520,733.63,customer_14911,2009-12-01,open
uci_ledger_489522,UCI-489522,700.31,customer_15998,2009-12-01,open
uci_ledger_489523,UCI-489523,1160.0,customer_12931,2009-12-01,open
uci_ledger_489526,UCI-489526,929.92,customer_12533,2009-12-01,open
uci_ledger_489529,UCI-489529,229.46,customer_17984,2009-12-01,open
uci_ledger_489531,UCI-489531,145.0,customer_14871,2009-12-01,open
uci_ledger_489532,UCI-489532,304.53,customer_13394,2009-12-01,open
uci_ledger_489533,UCI-489533,192.75,customer_16011,2009-12-01,open
uci_ledger_489536,UCI-489536,367.41,customer_16393,2009-12-01,open
uci_ledger_489537,UCI-489537,633.33,customer_14040,2009-12-01,open
uci_ledger_489539,UCI-489539,2887.14,customer_15061,2009-12-01,open
uci_ledger_489540,UCI-489540,537.96,customer_12913,2009-12-01,open
uci_ledger_489542,UCI-489542,387.6,customer_15061,2009-12-01,open
uci_ledger_489544,UCI-489544,281.82,customer_14341,2009-12-01,open
uci_ledger_489545,UCI-489545,124.95,customer_17804,2009-12-01,open
uci_ledger_489546,UCI-489546,584.5,customer_14156,2009-12-01,open
uci_ledger_489547,UCI-489547,641.45,customer_13599,2009-12-01,open
uci_ledger_489550,UCI-489550,482.3,customer_14156,2009-12-01,open
uci_ledger_489552,UCI-489552,278.61,customer_17063,2009-12-01,open
uci_ledger_489556,UCI-489556,379.65,customer_15719,2009-12-01,open
uci_ledger_489557,UCI-489557,603.94,customer_12490,2009-12-01,open
uci_ledger_489558,UCI-489558,291.58,customer_15793,2009-12-01,open
uci_ledger_489559,UCI-489559,128.6,customer_17056,2009-12-01,open
uci_ledger_489560,UCI-489560,859.1,customer_13526,2009-12-01,open
uci_ledger_489561,UCI-489561,246.86,customer_14654,2009-12-01,open
uci_ledger_489562,UCI-489562,229.6,customer_17998,2009-12-01,open
uci_ledger_489564,UCI-489564,322.9,customer_13526,2009-12-01,open
uci_ledger_489566,UCI-489566,218.55,customer_17742,2009-12-01,open
uci_ledger_489567,UCI-489567,307.8,customer_15326,2009-12-01,open
uci_ledger_489569,UCI-489569,282.28,customer_14478,2009-12-01,open
uci_ledger_489571,UCI-489571,156.71,customer_15967,2009-12-01,open
uci_ledger_489572,UCI-489572,507.49,customer_17611,2009-12-01,open
uci_ledger_489573,UCI-489573,580.02,customer_15051,2009-12-01,open
uci_ledger_489574,UCI-489574,551.33,customer_13097,2009-12-01,open
uci_ledger_489575,UCI-489575,367.28,customer_13590,2009-12-01,open
uci_ledger_489576,UCI-489576,319.66,customer_15984,2009-12-01,open
uci_ledger_489579,UCI-489579,219.82,customer_16887,2009-12-01,open
uci_ledger_489580,UCI-489580,261.0,customer_12921,2009-12-01,open
uci_ledger_489582,UCI-489582,293.95,customer_14543,2009-12-01,open
uci_ledger_489581,UCI-489581,124.83,customer_15945,2009-12-01,open
uci_ledger_489584,UCI-489584,21.95,customer_18037,2009-12-01,open
uci_ledger_489585,UCI-489585,105.85,customer_15662,2009-12-01,open
uci_ledger_489586,UCI-489586,263.42,customer_15380,2009-12-01,open
uci_ledger_489590,UCI-489590,362.78,customer_13110,2009-12-01,open
uci_ledger_489593,UCI-489593,423.87,customer_12836,2009-12-01,open
uci_ledger_489594,UCI-489594,322.33,customer_15005,2009-12-01,open
uci_ledger_489598,UCI-489598,822.37,customer_16620,2009-12-01,open
uci_ledger_489599,UCI-489599,2454.68,customer_12758,2009-12-01,open
uci_ledger_489606,UCI-489606,2.1,customer_17961,2009-12-01,open
uci_ledger_489611,UCI-489611,2.95,customer_15601,2009-12-01,open
uci_ledger_489613,UCI-489613,12.75,customer_13585,2009-12-01,open
uci_ledger_489617,UCI-489617,198.0,customer_13442,2009-12-01,open
uci_ledger_489634,UCI-489634,17.4,customer_13381,2009-12-01,open
uci_ledger_489635,UCI-489635,352.85,customer_16763,2009-12-01,open
uci_ledger_489637,UCI-489637,535.9,customer_17243,2009-12-01,open
uci_ledger_489639,UCI-489639,31.2,customer_14865,2009-12-01,open
uci_ledger_489640,UCI-489640,329.91,customer_17345,2009-12-01,open
uci_ledger_489641,UCI-489641,622.1,customer_13819,2009-12-01,open
uci_ledger_489644,UCI-489644,896.54,customer_15808,2009-12-01,open
uci_ledger_489645,UCI-489645,261.74,customer_17191,2009-12-01,open
uci_ledger_489650,UCI-489650,173.1,customer_13748,2009-12-01,open
uci_ledger_489652,UCI-489652,294.14,customer_15265,2009-12-01,open
uci_ledger_489654,UCI-489654,222.12,customer_15750,2009-12-01,open
uci_ledger_489657,UCI-489657,55.2,customer_17428,2009-12-01,open
uci_ledger_489656,UCI-489656,1237.3,customer_17428,2009-12-01,open
uci_ledger_489658,UCI-489658,828.09,customer_15485,2009-12-01,open
uci_ledger_489661,UCI-489661,23.48,customer_17246,2009-12-01,open
uci_ledger_489662,UCI-489662,73.75,customer_15485,2009-12-01,open
uci_ledger_489664,UCI-489664,374.43,customer_14061,2009-12-01,open
uci_ledger_489665,UCI-489665,252.3,customer_14108,2009-12-01,open
uci_ledger_489666,UCI-489666,263.09,customer_13648,2009-12-01,open
uci_ledger_489667,UCI-489667,538.46,customer_16563,2009-12-01,open
uci_ledger_489668,UCI-489668,378.12,customer_16701,2009-12-01,open
uci_ledger_489669,UCI-489669,397.2,customer_12842,2009-12-02,open
uci_ledger_489670,UCI-489670,114.6,customer_14302,2009-12-02,open
uci_ledger_489671,UCI-489671,740.3,customer_14135,2009-12-02,open
uci_ledger_489672,UCI-489672,772.65,customer_14831,2009-12-02,open
uci_ledger_489673,UCI-489673,61.1,customer_14831,2009-12-02,open
uci_ledger_489674,UCI-489674,261.3,customer_15602,2009-12-02,open
uci_ledger_489675,UCI-489675,4939.22,customer_13777,2009-12-02,open
uci_ledger_489676,UCI-489676,1210.8,customer_13777,2009-12-02,open
uci_ledger_489677,UCI-489677,192.0,customer_14000,2009-12-02,open
uci_ledger_489678,UCI-489678,189.3,customer_16823,2009-12-02,open
uci_ledger_489679,UCI-489679,795.98,customer_16163,2009-12-02,open
uci_ledger_489681,UCI-489681,89.59,customer_17998,2009-12-02,open
uci_ledger_489680,UCI-489680,45.0,customer_17193,2009-12-02,open
uci_ledger_489682,UCI-489682,125.73,customer_15759,2009-12-02,open
uci_ledger_489683,UCI-489683,1317.97,customer_16131,2009-12-02,open
uci_ledger_489684,UCI-489684,266.6,customer_14560,2009-12-02,open
uci_ledger_489687,UCI-489687,221.53,customer_17087,2009-12-02,open
uci_ledger_489688,UCI-489688,299.7,customer_14894,2009-12-02,open
uci_ledger_489695,UCI-489695,306.95,customer_16202,2009-12-02,open
uci_ledger_489699,UCI-489699,401.7,customer_16700,2009-12-02,open
uci_ledger_489705,UCI-489705,17.0,customer_16700,2009-12-02,open
uci_ledger_489702,UCI-489702,3108.64,customer_17511,2009-12-02,open
uci_ledger_489723,UCI-489723,2052.12,customer_14299,2009-12-02,open
uci_ledger_489726,UCI-489726,750.0,customer_17949,2009-12-02,open
